Movement direction;Set robot speed along X axis;Set robot speed along Y axis;Set rotational robot velocity;1st motor set speed;2st motor set speed;3st motor set speed;1st motor position;2nd motor position;3rd motor position;1st motor velocity;2nd motor velocity;3rd motor velocity;1st motor current;2nd motor current;3rd motor current;X axis current;Y axis curent;Rotational current;X axis global position;Y axis global position;Angle;Delta X axis local position;Delta Y axis local position;Delta angle;Robot speed along X axis;Robot speed along Y axis;Robot rotational velocity;Wheel 1 velocity;Wheel 1 effective velocity;Wheel 1 slippage;Motor 1 voltage;Motor 1 torque;Wheel 2 velocity;Wheel 2 effective velocity;Wheel 2 slippage;Motor 2 voltage;Motor 2 torque;Wheel 3 velocity;Wheel 3 effective velocity;Wheel 3 slippage;Motor 3 voltage;Motor 3 torque;
degree;m/s;m/s;rad/s;rad/s;rad/s;rad/s;ticks;ticks;ticks;rad/s;rad/s;rad/s;A;A;A;A;A;A;pix;pix;deg;mm;mm;deg;mm/s;mm/s;deg/s;rpm;rpm;none;V;Nm;rpm;rpm;none;V;Nm;rpm;rpm;none;V;Nm;
movedir;xsetspeed;ysetspeed;setvel;m1setvel;m2setvel;m3setvel;m1pos;m2pos;m3pos;m1vel;m2vel;m3vel;m1cur;m2cur;m3cur;xcur;ycur;rotcur;xpos;ypos;ang;dx;dy;dang;vx;vy;omega;w1vel;w1effvel;w1slip;m1vol;m1tor;w2vel;w2effvel;w2slip;m2vol;m2tor;w3vel;w3effvel;w3slip;m3vol;m3tor
0;0.1;0;0;-34.641;0;34.641;-9214;-11;9217;-33.9292;0;36.7566;0.205128;0;0.230769;0.251513;0.00853845;0.145299;877.76;881.442;357.614;2.79403;1.0865;-0.772405;87.8736319033843;0;0;-2.120575;-1.90252007164933;0.102828208552242;-2.7944364408;-0.01689450851268;0;0;0;0;NaN;2.2972875;1.90252007164933;0.171840672249629;3.0729121209;0.0192926673639012
0;0.1;0;0;-34.641;0;34.641;-11040;-4;11022;-33.9292;0;33.9292;0.205128;0;0.25641;0.266308;0.0170769;0.153846;877.76;874.283;357.614;2.79403;1.0865;-0.772405;93.4145770645266;0;0;-2.120575;-2.02248475953401;0.0462564353847367;-2.7944364408;-0.01689450851268;0;0;0;0;NaN;2.120575;2.02248475953401;0.0462564353847367;3.068082321;0.0231861343010625
0;0.1;0;0;-34.641;0;34.641;-11947;-2;11936;-33.9292;0;36.7566;0.333333;0;0.307692;0.369872;-0.00853845;0.213675;878.207;869.808;358.386;2.83571;0.0798792;0;93.3720777082644;0;0;-2.120575;-2.02156477053544;0.0466902747908261;-3.4785511413;-0.0341745719787956;0;0;0;0;NaN;2.2972875;2.02156477053544;0.120020994091752;3.4833809412;0.0291596189136022
0;0.1;0;0;-34.641;0;34.641;-12661;-6;12663;-33.9292;0;33.9292;0.205128;0;0.307692;0.295897;0.0341538;0.17094;877.76;867.122;357.58;2.79339;1.08814;-0.80597;90.0222365452788;0;0;-2.120575;-1.94903863825321;0.0808914382876309;-2.7944364408;-0.01689450851268;0;0;0;0;NaN;2.120575;1.94903863825321;0.0808914382876309;3.3417282012;0.03030495955353
0;0.1;0;0;-34.641;0;34.641;-14489;-8;14489;-33.9292;0;31.1018;0.205128;0;0.230769;0.251513;0.00853845;0.145299;878.207;859.515;358.386;2.83571;0.0798792;0.80597;88.5605871330419;0;0;-2.120575;-1.91739289423104;0.0958146284705607;-2.7944364408;-0.01689450851268;0;0;0;0;NaN;1.9438625;1.91739289423104;0.0136170154879571;2.7896066409;0.0206983111882223
0;0.1;0;0;-34.641;0;34.641;-15043;-6;15046;-33.9292;0;33.9292;0.25641;0;0.358974;0.355077;0.0341538;0.205128;878.207;856.83;358.386;2.863;-0.888977;0.772405;89.1900311526482;0;0;-2.120575;-1.93102095531925;0.0893880408289031;-3.068082321;-0.0231861343010625;0;0;0;0;NaN;2.120575;1.93102095531925;0.0893880408289031;3.6153740814;0.0382509842700825
0;0.1;0;0;-34.641;0;34.641;-16317;6;16280;-31.1018;0;31.1018;0.333333;0;0.384615;0.414256;0.0170769;0.239316;878.655;851.013;358.386;2.83571;0.0798792;0;87.2526153846154;0;0;-1.9438625;-1.88907457025385;0.0281850849770254;-3.3368984013;-0.0357631505186366;0;0;0;0;NaN;1.9438625;1.88907457025385;0.0281850849770254;3.6105442815;0.044649167856173
0;0.1;0;0;-34.641;0;34.641;-17418;6;17385;-33.9292;0;33.9292;0.153846;0;0.282051;0.251513;0.0426923;0.145299;878.207;846.538;357.58;2.83431;0.119759;-0.80597;91.3115335051541;0;0;-2.120575;-1.97695269437693;0.0677280009540209;-2.5207905606;-0.0114300821883825;0;0;0;0;NaN;2.120575;1.97695269437693;0.0677280009540209;3.2049052611;0.0266421469942856
0;0.1;0;0;-34.641;0;34.641;-20684;-10;20657;-28.2743;2.82743;31.1018;0.153846;0;0.358974;0.295897;0.0683077;0.17094;878.207;832.217;357.614;1.84923;1.04713;-0.772405;57.6443266832919;0;0;-1.76714375;-1.24803628282697;0.293755087650925;-2.2374800706;-0.0121745669721807;0.176714375;0;0;0.141654243;0;1.9438625;1.24803628282697;0.357960615616091;3.4737213414;0.0400933593813774
0;0.1;0;0;-34.641;0;34.641;-21402;-8;21377;-31.1018;0;31.1018;0.153846;0;0.333333;0.281103;0.0597692;0.162393;878.207;829.085;358.386;2.80842;1.04874;0;88.5378310214369;0;0;-1.9438625;-1.91690034258743;0.013870403597255;-2.3791378206;-0.0117684776169877;0;0;0;0;NaN;1.9438625;1.91690034258743;0.013870403597255;3.3368984013;0.0357631505186366
